Bacia,Reservatório,Num PDE
Bacia do Atlântico Sul,Reserv. 14 DE JULHO,99
Bacia do Rio Grande (PR),Reserv. A. VERMELHA,18
Bacia do Paranapanema (PR),Reserv. A.A. LAYDNER,47
Bacia do Rio Grande (PR),Reserv. A.S.OLIVEIRA,16
Bacia do Tiête (PR),Reserv. A.SOUZA LIMA,38
Bacia do Atlântico Sudeste,Reserv. AIMORES,143
Bacia do Iguaçu (PR),Reserv. APERTADOS,578
Bacia do Paranaíba (PR),Reserv. B. COQUEIROS,312
Bacia do Parnaíba,Reserv. B. ESPERANCA,190
Bacia do Amazonas,Reserv. B.MONTE COMP,314
Bacia do Atlântico Sudeste,Reserv. BAGUARI,141
Bacia do Iguaçu (PR),Reserv. BAIXO IGUACU,83
Bacia do Amazonas,Reserv. BALBINA,277
Bacia do Tiête (PR),Reserv. BARRA BONITA,37
Bacia do Uruguai,Reserv. BARRA GRANDE,86
Bacia do Paranaíba (PR),Reserv. BATALHA,20
Bacia do Amazonas,Reserv. BELO MONTE,288
Bacia do Amazonas,Reserv. BEM QUERER,339
Bacia do Tiête (PR),Reserv. BILLINGS,118
Bacia do Amazonas,Reserv. CACH CALDEIR,204
Bacia do Paranaíba (PR),Reserv. CACH DOURADA,32
Bacia do Amazonas,Reserv. CACH PATOS,235
Bacia do Rio Grande (PR),Reserv. CACONDE,14
Bacia do Paranaíba (PR),Reserv. CACU,311
Bacia do Rio Grande (PR),Reserv. CAMARGOS,1
Bacia do Uruguai,Reserv. CAMPOS NOVOS,90
Bacia do Tocantis,Reserv. CANA BRAVA,252
Bacia do Atlântico Sudeste,Reserv. CANDONGA,139
Bacia do Paranapanema (PR),Reserv. CANOAS I,52
Bacia do Paranapanema (PR),Reserv. CANOAS II,51
Bacia do Paranaíba (PR),Reserv. CAPIM BRANC1,27
Bacia do Paranaíba (PR),Reserv. CAPIM BRANC2,28
Bacia do Paranapanema (PR),Reserv. CAPIVARA,61
Bacia do Amazonas,Reserv. CASTANHEIRA,409
Bacia do Atlântico Sul,Reserv. CASTRO ALVES,97
Bacia do Paranapanema (PR),Reserv. CHAVANTES,49
Bacia do Amazonas,Reserv. COARA NUNES,280
Bacia do Amazonas,Reserv. COLIDER,228
Bacia do Iguaçu (PR),Reserv. COMISSARIO,577
Bacia do Paranaíba (PR),Reserv. CORUMBA I,30
Bacia do Paranaíba (PR),Reserv. CORUMBA III,203
Bacia do Paranaíba (PR),Reserv. CORUMBA IV,29
Bacia do Amazonas,Reserv. CURUA-UNA,272
Bacia do Atlântico Sul,Reserv. D. FRANCISCA,114
Bacia do Amazonas,Reserv. DARDANELOS,310
Bacia do Tiête (PR),Reserv. Edgard de Souza,107
Bacia do Paranaíba (PR),Reserv. EMBORCACAO,24
Bacia do Iguaçu (PR),Reserv. ERCILANDIA,579
Bacia do Atlântico Sul,Reserv. ERNESTINA,110
Bacia do Paranaíba (PR),Reserv. ESPORA,290
Bacia do Rio Grande (PR),Reserv. ESTREITO GDE,8
Bacia do Tocantis,Reserv. ESTREITO TOC,267
Bacia do Rio Grande (PR),Reserv. EUCLID CUNHA,15
Bacia do Amazonas,Reserv. FERREIRA GOM,284
Bacia do Atlântico Sudeste,Reserv. FONTES,132
Bacia do Uruguai,Reserv. FOZ CHAPECO,103
Bacia do Uruguai,Reserv. FOZ DO XAXIM,591
Bacia do Iguaçu (PR),Reserv. FOZ PIQUIRI,580
Bacia do Paranaíba (PR),Reserv. FOZ R CLARO,315
Bacia do Iguaçu (PR),Reserv. FUNDAO,72
Bacia do Rio Grande (PR),Reserv. FUNIL GRANDE,4
Bacia do Atlântico Sudeste,Reserv. FUNIL PB SUL,123
Bacia do Rio Grande (PR),Reserv. FURNAS,6
Bacia do Iguaçu (PR),Reserv. G. B. MUNHOZ,74
Bacia do Atlântico Sul,Reserv. G. P. SOUZA,115
Bacia do Uruguai,Reserv. GARIBALDI,89
Bacia do Amazonas,Reserv. GUAPORE,196
Bacia do Tiête (PR),Reserv. GUARAPIRANGA,117
Bacia do Atlântico Sudeste,Reserv. GUILMAN-AMOR,192
Bacia do Atlântico Sudeste,Reserv. HENRY BORDEN,119
Bacia do Paraná,Reserv. I. SOLTEIRA,34
Bacia do Tiête (PR),Reserv. IBITINGA,39
Bacia do Rio Grande (PR),Reserv. IGARAPAVA,10
Bacia do Atlântico Sudeste,Reserv. ILHA POMBOS,130
Bacia do Atlântico Leste,Reserv. IRAPE,148
Bacia do Uruguai,Reserv. ITA,92
 , Reserv. ITAGUAÇU,313
Bacia do Paraná,Reserv. ITAIPU,66
Bacia do São Francisco,Reserv. ITAPARICA,172
Bacia do Atlântico Leste,Reserv. ITAPEBI,154
Bacia do Uruguai,Reserv. ITAPIRANGA,100
Bacia do Atlântico Sul,Reserv. ITAUBA,113
Bacia do Paraguai,Reserv. ITIQUIRA 1,304
Bacia do Paraguai,Reserv. ITIQUIRA 2,305
Bacia do Paranaíba (PR),Reserv. ITUMBIARA,31
Bacia do Rio Grande (PR),Reserv. ITUTINGA,2
Bacia do Atlântico Sul,Reserv. JACUI,112
Bacia do Rio Grande (PR),Reserv. JAGUARA,9
Bacia do Atlântico Sudeste,Reserv. JAGUARI,120
Bacia do Amazonas,Reserv. JATOBA,233
Bacia do Paraguai,Reserv. JAURU,195
Bacia do Amazonas,Reserv. JIRAU,285
Bacia do Iguaçu (PR),Reserv. JORDAO,73
Bacia do Paraná,Reserv. JUPIA,45
Bacia do Paranapanema (PR),Reserv. L. N. GARCEZ,50
Bacia do Tocantis,Reserv. LAJEADO,261
Bacia do Atlântico Sudeste,Reserv. LAJES,124
Bacia do Uruguai,Reserv. MACHADINHO,91
Bacia do Paraguai,Reserv. MANSO,278
Bacia do Tocantis,Reserv. MARANHAO BAIXO,426
Bacia do Rio Grande (PR),Reserv. MARIMBONDO,17
Bacia do Rio Grande (PR),Reserv. MASC. MORAES,7
Bacia do Atlântico Sudeste,Reserv. MASCARENHAS,144
Bacia do Paranapanema (PR),Reserv. MAUA,57
Bacia do Tocantis,Reserv. MIRADOR,250
Bacia do Paranaíba (PR),Reserv. MIRANDA,26
Bacia do Uruguai,Reserv. MONJOLINHO,94
Bacia do Atlântico Sul,Reserv. MONTE CLARO,98
Bacia do São Francisco,Reserv. MOXOTO,173
Bacia do Tiête (PR),Reserv. N.AVANHANDAV,42
Bacia do Atlântico Sudeste,Reserv. NILO PECANHA,131
Bacia do Paranaíba (PR),Reserv. NOVA PONTE,25
Bacia do Paranapanema (PR),Reserv. OURINHOS,249
Bacia do Atlântico Leste,Reserv. P. CAVALO,189
Bacia do Rio Grande (PR),Reserv. P. COLOMBIA,12
Bacia do Atlântico Sudeste,Reserv. P. ESTRELA,135
Bacia do Paraná,Reserv. P. GALEANO,563
Bacia do Atlântico Sudeste,Reserv. P. PASSOS,133
Bacia do Paraná,Reserv. P. PRIMAVERA,46
Bacia do São Francisco,Reserv. P.AFONSO 4,175
Bacia do São Francisco,Reserv. P.AFONSO123,174
Bacia do Atlântico Sudeste,Reserv. PARAIBUNA/PA,121
Bacia do Tocantis,Reserv. PARANA,440
Bacia do Uruguai,Reserv. PASSO FUNDO,93
Bacia do Atlântico Sul,Reserv. PASSO REAL,111
Bacia do Uruguai,Reserv. PASSO S JOAO,102
Bacia do Tiête (PR),Reserv. Pedreira,109
Bacia do Tocantis,Reserv. PEIXE ANGICA,257
Bacia do Atlântico Sudeste,Reserv. PICADA,126
Bacia do Paranapanema (PR),Reserv. PIRAJU,48
Bacia do Tiête (PR),Reserv. Ponte Nova,105
Bacia do Paraguai,Reserv. PONTE PEDRA,281
Bacia do Tiête (PR),Reserv. PROMISSAO,40
Bacia do Uruguai,Reserv. QUEBRA QUEIXO,95
Bacia do São Francisco,Reserv. QUEIMADO,162
Bacia do São Francisco,Reserv. RETIRO BAIXO,155
Bacia do Amazonas,Reserv. RONDON 2,276
Bacia do Atlântico Sudeste,Reserv. ROSAL,217
Bacia do Paranapanema (PR),Reserv. ROSANA,63
Bacia do Paranapanema (PR),Reserv. S BRANCA TIB,54
Bacia do Atlântico Sudeste,Reserv. S.BRANCA PAR,122
Bacia do Atlântico Sudeste,Reserv. SA CARVALHO,193
Bacia do Paranaíba (PR),Reserv. SALTO,262
Bacia do Iguaçu (PR),Reserv. SALTO CAXIAS,82
Bacia do Atlântico Sudeste,Reserv. SALTO GRANDE,134
Bacia do Iguaçu (PR),Reserv. SALTO OSORIO,78
Bacia do Atlântico Sul,Reserv. SALTO PILAO,215
Bacia do Amazonas,Reserv. SAMUEL,279
Bacia do Atlântico Sudeste,Reserv. Santana,181
Bacia do Paraná,Reserv. SAO DOMINGOS,153
Bacia do Uruguai,Reserv. SAO JOSE,101
Bacia do Amazonas,Reserv. SAO MANOEL,230
Bacia do Uruguai,Reserv. SAO ROQUE,88
Bacia do Tocantis,Reserv. SAO SALVADOR,253
Bacia do Paranaíba (PR),Reserv. SAO SIMAO,33
Bacia do Uruguai,Reserv. SAUDADE,590
Bacia do Iguaçu (PR),Reserv. SEGREDO,76
Bacia do Paranaíba (PR),Reserv. SERRA FACAO,21
Bacia do Tocantis,Reserv. SERRA MESA,251
Bacia do Atlântico Sudeste,Reserv. SIMPLICIO,129
Bacia do Amazonas,Reserv. SINOP,227
Bacia do Paranaíba (PR),Reserv. SLT VERDINHO,241
Bacia do Iguaçu (PR),Reserv. SLT.SANTIAGO,77
Bacia do São Francisco,Reserv. SOBRADINHO,169
Bacia do Atlântico Sudeste,Reserv. SOBRAGI,127
Bacia do Atlântico Leste,Reserv. STA CLARA MG,283
Bacia do Iguaçu (PR),Reserv. STA CLARA PR,71
Bacia do Atlântico Sudeste,Reserv. Sta. Cecília,125
Bacia do Amazonas,Reserv. STO ANT JARI,286
Bacia do Amazonas,Reserv. STO ANTONIO,287
Bacia do Uruguai,Reserv. STOANTCHAP,592
Bacia do Atlântico Sudeste,Reserv. SUICA,528
Bacia do Amazonas,Reserv. TABAJARA,340
Bacia do Paranapanema (PR),Reserv. TAQUARUCU,62
Bacia do Paranapanema (PR),Reserv. TELEM BORBA,56
Bacia do Amazonas,Reserv. TELES PIRES,229
Bacia do Paranapanema (PR),Reserv. TIBAGI MONT,55
Bacia do Atlântico Sudeste,Reserv. Tocos,180
Bacia do Tiête (PR),Reserv. Traição,108
Bacia do Tiête (PR),Reserv. TRES IRMAOS,43
Bacia do São Francisco,Reserv. TRES MARIAS,156
Bacia do Tocantis,Reserv. TUCURUI,275
Bacia do Atlântico Sudeste,Reserv. Vigário,182
Bacia do Rio Grande (PR),Reserv. VOLTA GRANDE,11
Bacia do São Francisco,Reserv. XINGO,178
